pos,envo_biome_2,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19
"(-78.170000000000002, 163.84999999999999)",desert biome,3.339968748804014e-07,3.339968745436559e-07,3.339968743218546e-07,3.3399687574493037e-07,3.3399687554076176e-07,3.3399687800800907e-07,3.3399687431579325e-07,3.339968757657976e-07,3.33996875344889e-07,3.339968749175508e-07,0.9988400151778105,3.339968779623486e-07,3.339968751630679e-07,3.3399687398133874e-07,3.3399687513914003e-07,0.0011539728784234924,3.339968760580972e-07,3.339968740431741e-07,3.339968859603834e-07,3.339968742578037e-07
"(-78.170000000000002, 163.87)",desert biome,1.890452084934067e-07,1.8904520836673395e-07,1.8904520839902007e-07,1.8904520920332626e-07,1.8904520834049692e-07,1.890452084755851e-07,1.8904520834841146e-07,1.8904520972242477e-07,1.8904520871649408e-07,1.8904520861821922e-07,0.9826330270616246,1.8904520878678211e-07,1.8904520970340673e-07,1.8904520837071103e-07,1.8904520853637178e-07,0.017363570124619372,1.8904520836719463e-07,1.8904520843263743e-07,1.8904520838308182e-07,1.890452084636702e-07
"(-78.150000000000006, 163.63)",desert biome,7.640353313119805e-07,7.64035329092349e-07,7.640353307822547e-07,7.640353345013147e-07,7.640353313619296e-07,7.640353336619093e-07,7.64035330358173e-07,7.640353362030695e-07,7.640353311721709e-07,7.64035332756036e-07,0.9999854833286986,7.640353339525189e-07,7.640353328450636e-07,7.640353299077455e-07,7.640353331944096e-07,7.640353308839132e-07,7.640353299678526e-07,7.640353298964633e-07,7.640353291640281e-07,7.640353303107956e-07
"(-78.150000000000006, 163.77000000000001)",desert biome,2.3141934156336737e-07,2.3141934115160035e-07,2.314193415831125e-07,2.3141934204016176e-07,2.314193416759421e-07,2.314193416592065e-07,2.314193414110689e-07,2.314193418923781e-07,0.003745111510149823,2.3141934163231707e-07,0.9962507229416939,2.3141934261137418e-07,2.3141934186721976e-07,2.3141934314637475e-07,2.3141934133915129e-07,2.3141934186740037e-07,2.3141934136515885e-07,2.314193414259588e-07,2.314193467459328e-07,2.3141934135180778e-07
"(-78.150000000000006, 163.81999999999999)",desert biome,2.8218296786955594e-07,2.821829674608434e-07,2.821829678046813e-07,0.5541620407239995,2.8218296771423435e-07,2.821829681950081e-07,2.821829676328857e-07,2.8218296862561723e-07,2.8218297138402084e-07,2.821829682652806e-07,0.4458328799825738,2.8218296838761474e-07,2.821829685489209e-07,2.8218296849958524e-07,2.821829676874004e-07,2.821829678753456e-07,2.821829676708621e-07,2.821829677487231e-07,2.821829677878914e-07,2.8218296759997786e-07
"(-78.150000000000006, 163.84)",desert biome,7.044337074684141e-07,7.044337058319368e-07,7.044337066495922e-07,0.00391016587707794,7.044337113614699e-07,7.044337061525449e-07,7.044337066484612e-07,7.044337106910799e-07,7.044337079335066e-07,7.044337083359331e-07,0.9960771543161889,7.044337084219789e-07,7.044337082413361e-07,7.044337063170662e-07,7.044337061266527e-07,7.044337075270116e-07,7.044337066536317e-07,7.044337063323764e-07,7.044337057668281e-07,7.044337065239528e-07
"(-78.140000000000001, 163.72999999999999)",desert biome,5.047038406655966e-07,5.047038400163399e-07,5.047038405227194e-07,5.04703841922994e-07,0.0002153601340125791,5.047038450925478e-07,5.047038405449575e-07,5.047038424424378e-07,0.0005997083566837052,5.047038415255664e-07,0.9991763515439964,5.047038454123024e-07,5.047038425952018e-07,5.047038405129557e-07,5.047038411806109e-07,5.047038403438264e-07,5.047038432845073e-07,5.0470384044746e-07,5.047038400566491e-07,5.047038406926997e-07
"(-78.140000000000001, 163.77000000000001)",desert biome,2.049365113187742e-07,2.049365108470503e-07,2.0493651088263186e-07,2.0493651148913406e-07,2.0493651185884604e-07,2.049365111728676e-07,2.0493651104979509e-07,2.0493651148052614e-07,2.04936511305718e-07,2.0493651114794715e-07,0.9999763423776521,2.0493651141537093e-07,2.049365113949562e-07,2.0493651095187834e-07,2.0493651094180963e-07,1.9968765137012738e-05,2.049365156600581e-07,2.0493651107342402e-07,2.0493651586103458e-07,2.0493651086510765e-07
"(-78.140000000000001, 164.03)",desert biome,7.536703779983198e-07,7.536703748534787e-07,7.536703762788964e-07,7.536703794481707e-07,7.536703760077774e-07,7.536703766992279e-07,7.536703761073363e-07,7.536703790014868e-07,7.536703790324837e-07,7.536703782148595e-07,0.9999856802627883,7.536703767348245e-07,7.536704245269612e-07,7.536703765359947e-07,7.536703764075233e-07,7.536703796421206e-07,7.536703769519192e-07,7.536703763775335e-07,7.536703754035953e-07,7.53670375583431e-07
"(-78.140000000000001, 164.13)",desert biome,8.253004257327278e-07,8.253004119267897e-07,8.253004244387986e-07,0.2949622601870547,8.253004173133335e-07,8.253004152136424e-07,8.2530041261386e-07,8.253004121036703e-07,8.253004163051851e-07,8.253004114465257e-07,0.7050228844054017,8.253004192461763e-07,8.253004113756235e-07,8.253004388746442e-07,8.25300413169817e-07,8.253004346843888e-07,8.253004363086435e-07,8.253004135014661e-07,8.253004113517052e-07,8.25300418080308e-07
"(-78.129999999999995, 164.00999999999999)",desert biome,4.178715302882376e-07,4.178715303132577e-07,4.178715310818219e-07,0.042209478981415374,4.17871539340817e-07,4.1787153174189495e-07,4.178715306773548e-07,2.4643891231349796e-05,4.178715347069945e-07,4.178715316043414e-07,0.9577587733113059,4.1787153064015056e-07,4.1787153141437367e-07,4.1787153608993e-07,4.178715306200518e-07,4.178715299567883e-07,4.178715378686202e-07,4.178715303349727e-07,4.1787153051681346e-07,4.178715301146896e-07
"(-78.129999999999995, 164.03999999999999)",desert biome,4.3592359257222095e-07,4.359235913940883e-07,4.359235916073566e-07,0.7073275617433502,4.359235914528726e-07,4.359235922188116e-07,4.359235918104565e-07,0.2926645916319883,4.35923591636487e-07,4.35923591991731e-07,4.359235926068719e-07,4.359235949872718e-07,4.3592359163854394e-07,4.3592359150702477e-07,4.359235915782188e-07,4.3592359416675444e-07,4.359235926782934e-07,4.359235942882892e-07,4.3592359132418455e-07,4.359235919929536e-07
"(-78.129999999999995, 164.05000000000001)",desert biome,5.888033183585618e-07,5.888033162404439e-07,5.888033174208493e-07,5.888033221418831e-07,5.888033174732144e-07,5.888033192250535e-07,5.888033166049652e-07,5.888033188555585e-07,5.888033218054885e-07,5.888033182131269e-07,0.999988812736944,5.888033187861408e-07,5.88803318774718e-07,5.88803326865199e-07,5.888033177971864e-07,5.88803318389404e-07,5.888033167175209e-07,5.888033183261193e-07,5.888033171160502e-07,5.888033169724564e-07
"(-78.120000000000005, 163.65000000000001)",desert biome,1.3398360099733788e-07,1.339836008469001e-07,1.3398360171815074e-07,1.339836011245641e-07,1.3398360118087271e-07,1.3398360117143221e-07,0.0002582148758410333,1.339836008180652e-07,1.3398360142390775e-07,1.3398360111022477e-07,0.9997393734193345,1.3398360197493352e-07,1.3398360108133748e-07,1.339836004917866e-07,1.3398360239454821e-07,1.3398360127679697e-07,1.3398360154473565e-07,1.3398360074260162e-07,1.339836039410633e-07,1.339836007095395e-07
